mean_platform_revenue,mean_liquid_welfare,mean_effective_poa,mean_budget_utilization,mean_bid_to_value,mean_allocative_efficiency,mean_dual_cv,mean_no_sale_rate,mean_winner_entropy,mean_lp_offline_welfare,mean_effective_poa_lp,mean_rev_all,warm_start_benefit,inter_episode_volatility,bid_suppression_ratio,cross_episode_drift,auction_type,auction_type_coded,aggressiveness,aggressiveness_coded,n_bidders,n_bidders_coded,budget_multiplier,budget_multiplier_coded,reserve_price,reserve_price_coded,sigma,sigma_coded,cell_id,replicate,seed,auction_type_code
1466.1748039857662,1514.0432632375453,1.0,0.9557253517599523,0.9958861814589774,0.32251111111111114,0.570189393004095,0.0002777777777777778,0.6283965927763592,1514.0432632375457,1.0,1466.7060846065003,-33.25590331364333,0.014668490322837813,0.9958861813593888,-6.373904449888162e-06,second,-1,0.3,-1,2,-1,0.25,-1,0.3,1,0.1,-1,2,5,422005,0
1271.4543103618341,1309.9428040240566,1.0,0.9631871399652994,0.9811534889336764,0.3007666666666667,0.5961751162530932,0.001988888888888889,0.610066055612932,1309.9428040240568,1.0000000000000002,1272.6554298908247,-13.653931341078987,0.03170998976020641,0.981153488835561,-5.458703899377403e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.3,1,0.1,-1,2,6,422006,0
951.5375355650543,991.3892954534106,1.0,0.9551448388343577,0.9477424761551367,0.3242555555555556,0.6086928561343331,0.008711111111111112,0.616822935557541,991.3892954534107,1.0,949.7717955095354,-60.28581062047465,0.03789650999244815,0.9477424760603624,-3.468881487045087e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.3,1,0.1,-1,2,7,422007,0
1996.2078179438386,2057.184567137029,1.0,0.9668215633582883,1.0564069218181098,0.6162222222222223,0.5085170653243531,0.0112,0.679824081245835,2057.1845671370297,1.0,1994.0972211310684,9.565779632614749,0.027108280518858132,1.0564069217124692,3.0471361267224747e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.3,1,0.5,1,3,0,423000,0
1470.7991107859293,1507.89476035032,1.0,0.975148198009698,1.0267628216453204,0.6419333333333334,0.6042484016045137,0.024855555555555558,0.6812641980047347,1507.8947603503198,1.0,1472.733345461537,24.900232998760202,0.02463663439498549,1.026762821542644,1.0146822599575822e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.3,1,0.5,1,3,1,423001,0
1863.4305769177442,1931.0093688106379,1.0000000000000002,0.9564013225896145,1.0733489866681818,0.6009777777777778,0.5399443075242216,0.004233333333333334,0.6867803301012083,1931.0093688106379,1.0,1865.73750189789,-10.323628753315234,0.030052360659306755,1.073348986560847,-4.6349551171228896e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.3,1,0.5,1,3,2,423002,0
1240.7812607421347,1266.6347843469393,1.0000000000000002,0.9792814686295395,1.0330050000339108,0.6207444444444445,0.5897614428529029,0.0227,0.6840293534517565,1266.6347843469398,1.0000000000000002,1239.5591648842938,-8.282303333126947,0.022646021437181578,1.0330049999306103,-6.440047430433059e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.3,1,0.5,1,3,3,423003,0
1324.7044513219057,1357.2605612260543,1.0,0.9717844930137798,1.0539679854082764,0.6095666666666666,0.5052419740601054,0.010122222222222223,0.6860909847197284,1357.2605612260543,1.0,1324.1120732739657,-18.714103671504745,0.020094337226466585,1.0539679853028796,-0.00018825549122065984,second,-1,0.3,-1,2,-1,0.25,-1,0.3,1,0.5,1,3,4,423004,0
1514.004835735677,1543.325051477956,1.0,0.9811599496011353,1.0195328242393127,0.6669222222222222,0.6072144569925785,0.029233333333333337,0.680535737554026,1543.3250514779556,1.0,1513.9784289346594,20.987549795912628,0.02186692931369477,1.0195328241373594,5.4288174051455356e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.3,1,0.5,1,3,5,423005,0
1773.293860583018,1839.2834306645614,1.0,0.9568770221212747,1.0662071484474556,0.5968555555555556,0.5030789374220804,0.005277777777777778,0.6859812276622528,1839.283430664562,1.0000000000000002,1775.4375212458951,-7.458450265274905,0.031674021393505426,1.0662071483408349,-3.9665608396221464e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.3,1,0.5,1,3,6,423006,0
1266.0678347031667,1290.1766057413042,1.0,0.9815451851045105,1.0084016888595986,0.6576666666666666,0.653685548822251,0.03848888888888889,0.6848722496192053,1290.1766057413042,1.0,1266.0392710781114,147.86958246011545,0.025766986453625775,1.0084016887587584,-0.0001284719379029415,second,-1,0.3,-1,2,-1,0.25,-1,0.3,1,0.5,1,3,7,423007,0
3390.2387840695296,3897.3448323250122,1.0005109774442285,0.43441111923954745,1.499998806960587,1.0,0.0,0.0,0.00017571677924951552,3901.13432605019,1.000971120418509,3390.3604808275886,-4.010250139935579,0.0032313700806227484,1.4999988068105872,1.196502369655113e-09,second,-1,0.3,-1,2,-1,1.0,1,0.0,-1,0.1,-1,4,0,424000,0
