avg_rev_last_1000,time_to_converge,avg_regret_of_seller,alpha,gamma,episodes,auction_type,init,exploration,asynchronous,n_bidders,median_opp_past_bid_index,winner_bid_index_state
0.9000000000000002,1000,0.08784742716982122,0.09687179273969107,0.011538146854219713,76239,first,random,egreedy,0,6,False,True
0.722,1000,0.2837769594950026,0.04253704974226677,0.475675858945281,47525,second,random,boltzmann,1,2,False,False
0.7204,1000,0.2801252540334287,0.05697855187412439,0.7986238693474923,96444,second,random,boltzmann,0,2,False,True
0.8337,1000,0.17169284467713786,0.02631383769998992,0.654816243010292,40110,first,zeros,boltzmann,0,4,True,True
0.8947000000000002,1000,0.11024612515613727,0.07094132441202433,0.7770622425262397,56841,first,zeros,boltzmann,1,6,False,True
0.9001000000000002,1000,0.08562511869342279,0.09150757085570686,0.6793916154564356,78985,first,zeros,egreedy,1,6,False,False
0.8995,1000,0.09863735870973506,0.02484545318498782,0.6828692549753916,67149,second,random,boltzmann,0,6,False,False
1.0,9162,0.1396783505154639,0.09623884418355456,0.13896490417563084,12125,second,random,egreedy,1,2,False,True
0.8345,1000,0.17186859907660623,0.09323787264633508,0.9391197202132453,90319,first,random,boltzmann,1,4,True,False
0.9000000000000002,1000,0.08803768017251161,0.07411086890442267,0.8314017389487546,26433,first,random,egreedy,0,6,False,True
0.8255,1000,0.17027470608776626,0.04392660721513474,0.9175206226490575,85910,first,zeros,boltzmann,0,4,False,True
0.8859000000000001,1000,0.11180087127599772,0.07725621396009552,0.20072510602245058,28464,first,random,boltzmann,0,6,False,True
0.9015000000000002,1000,0.08903925770278985,0.06836474979809948,0.694355845558988,96134,first,random,egreedy,1,6,True,True
0.9000000000000002,10049,0.10788041347073861,0.020166145315854672,0.12954364523439815,63753,first,random,egreedy,1,4,False,False
0.8552000000000001,1000,0.15025919382584035,0.059330714843052926,0.3423735051046743,86036,second,random,boltzmann,1,4,False,False
0.9007000000000003,2212,0.10954892545068093,0.05851734081452296,0.2863044792033233,12703,first,zeros,egreedy,1,4,False,False
0.9000000000000002,1000,0.08682835409546907,0.01110504226581779,0.11127487246943342,45355,first,random,egreedy,0,6,False,False
0.9000000000000002,30511,0.23620611035111713,0.016967960546797372,0.21148062157033842,37281,first,zeros,egreedy,0,2,True,True
1.0,10783,0.01571770621333652,0.06132955808231859,0.6259106656229908,83530,second,zeros,egreedy,1,6,True,True
0.8282,1000,0.17289840393951034,0.057604184464637116,0.5798893862023631,85899,first,zeros,boltzmann,0,4,True,True
0.8884000000000001,1000,0.11042365093130717,0.05938251450794401,0.743035540881814,77257,first,zeros,boltzmann,1,6,False,True
0.9999,53223,0.09526118008553752,0.039583046847978816,0.9733817774105152,96332,second,random,egreedy,0,2,True,True
0.8946000000000002,1000,0.11038519579897257,0.07138041045291801,0.09068658199876825,65603,first,zeros,boltzmann,0,6,True,True
0.6524,71400,0.32680153220014363,0.06755263252482883,0.42473077429058653,75186,first,zeros,boltzmann,1,2,False,True
0.9015000000000001,1000,0.09797495917256394,0.028886612008286558,0.3815439321523899,27555,second,random,boltzmann,1,6,False,False
1.0,4723,0.04581066376496191,0.05127460384483553,0.8690892247016199,12866,second,random,egreedy,1,4,True,False
0.9024000000000001,1000,0.0982840877200016,0.04429186209961943,0.22841199444737043,24943,second,zeros,boltzmann,1,6,False,False
0.9000000000000002,1000,0.08761510128913443,0.06754841186120954,0.024760647670440266,34752,first,random,egreedy,0,6,True,False
1.0,3713,0.017505336992985666,0.013469665540364205,0.6892620794106823,22953,second,zeros,egreedy,1,6,True,False
0.9000000000000002,66135,0.24682529714670648,0.046768229132904446,0.5365522890135502,87583,first,zeros,egreedy,1,2,False,False
1.0,14435,0.14194829869307388,0.034468787294568176,0.48314792577239873,17369,second,random,egreedy,1,2,False,True
0.9000000000000002,56514,0.2674855101230646,0.08994412688072392,0.3959944520113028,62975,first,random,egreedy,0,2,True,False
0.9069,1000,0.09903010033444816,0.04166616302450944,0.42588438353019703,50830,second,zeros,boltzmann,1,6,False,True
0.7153,1000,0.27945677278191217,0.059334204557469676,0.1305725487421169,74039,second,random,boltzmann,0,2,False,True
0.8238,1000,0.17173727751316115,0.01601955787084765,0.4091103882639767,19945,first,random,boltzmann,0,4,False,False
0.8937999999999999,1000,0.11028396692742737,0.054778291188274215,0.2635119858418152,67367,first,zeros,boltzmann,0,6,True,False
0.8835,1000,0.11284284202815982,0.03191659864384033,0.4971868996081244,24574,first,zeros,boltzmann,1,6,True,True
0.7282000000000001,1000,0.27935040964559343,0.0980519372533897,0.05397742846035281,75309,second,zeros,boltzmann,0,2,False,True
0.7304,1000,0.27965859483585537,0.0655427329002957,0.8812371676705246,51083,second,zeros,boltzmann,0,2,False,True
0.8477,1000,0.1505295939779502,0.09222786752994021,0.13610323939135885,60046,second,zeros,boltzmann,0,4,True,True
0.8546000000000001,21726,0.252210920543048,0.018130586884241462,0.9411272289178096,23497,second,random,egreedy,1,2,True,True
1.0,13834,0.03197605928177845,0.09693272692224497,0.5541583548589155,52630,second,zeros,egreedy,0,4,False,True
0.9091000000000001,1000,0.10291386214535228,0.01383091422243192,0.5837895858976373,11737,second,zeros,boltzmann,1,6,True,False
0.9000000000000002,18502,0.11723741092110893,0.06226814484405611,0.20366675899126926,67777,first,random,egreedy,1,4,True,True
0.8817000000000002,1000,0.11016548214811385,0.030176692736259378,0.9233138936313742,95116,first,random,boltzmann,0,6,False,True
0.7211000000000002,1000,0.28037457602123583,0.037702607926039966,0.5721782984032888,33905,second,zeros,boltzmann,0,2,False,False
0.8497,1000,0.15053936000772233,0.05450386923814913,0.5511248128459252,82876,second,zeros,boltzmann,0,4,True,True
0.6836,75350,0.32657566046263203,0.0935192409289907,0.1712966211475635,97356,first,zeros,boltzmann,1,2,False,False
0.7217,1000,0.2802020729901576,0.05006253026411406,0.29114759751549657,91848,second,random,boltzmann,0,2,False,True
0.8856000000000002,1000,0.11057252567089479,0.052854243600641115,0.6239168637756963,46356,first,random,boltzmann,0,6,False,False
0.9026000000000001,1000,0.09846554449920952,0.04732695993778112,0.28482317089361536,86024,second,zeros,boltzmann,1,6,True,False
0.8953000000000001,1000,0.09911697033766556,0.016372803435316535,0.43024187620392756,32162,second,zeros,boltzmann,0,6,True,False
0.8988,1000,0.09864085836205479,0.016731438118579967,0.758340728463992,97488,second,zeros,boltzmann,1,6,True,False
0.8336000000000001,1000,0.1727758651929697,0.07675020420531159,0.9313958443157434,77266,first,random,boltzmann,1,4,True,True
0.8505,1000,0.15461593797458237,0.0715816857170866,0.09487893539203612,25022,second,zeros,boltzmann,1,4,True,True
0.9000000000000002,1000,0.08799392393230637,0.09187923141314848,0.29113825035109175,51349,first,zeros,egreedy,0,6,False,True
0.6752999999999999,1000,0.3225680572331134,0.039137801123868915,0.6138291903633892,10763,first,random,boltzmann,0,2,False,False
0.9019000000000001,1000,0.09865623422513882,0.01660839893220984,0.5884183098448753,99050,second,zeros,boltzmann,0,6,True,False
1.0,15925,0.03247659322396458,0.03518339262156891,0.49711903918848727,60773,second,zeros,egreedy,1,4,False,True
0.9000000000000002,4355,0.11447784810126581,0.08737556006726789,0.5101270302279908,20224,first,zeros,egreedy,0,4,False,True
1.0,11170,0.1449989088528406,0.05057606207305082,0.4322533725933235,13747,second,zeros,egreedy,1,2,True,True
0.8488000000000001,1000,0.1500035709184402,0.04335009769866764,0.94068358157386,28004,second,random,boltzmann,0,4,True,True
0.6718000000000002,1000,0.32862785994185306,0.08192038322050543,0.322647082621911,31644,first,zeros,boltzmann,0,2,False,True
1.0,11908,0.014820537582488325,0.08330303309030294,0.09506271397479489,93195,second,zeros,egreedy,0,6,True,False
0.9000000000000002,4638,0.10791031462860849,0.023080254564995264,0.3460161427400848,24664,first,zeros,egreedy,0,4,False,False
0.8433,1000,0.1509297310493551,0.034434200193395104,0.5364875285296972,73731,second,zeros,boltzmann,1,4,False,True
0.9997,32085,0.09600278990982612,0.055534637239322296,0.4487518660329798,60217,second,zeros,egreedy,0,2,True,False
0.6798000000000002,1000,0.3286157341459456,0.023024849737030163,0.48499835225634214,55459,first,random,boltzmann,0,2,True,True
0.9991,10562,0.09686909131353576,0.054654055282037144,0.8481963964948117,17982,second,random,egreedy,0,2,False,True
0.9053000000000002,4395,0.1168650348079946,0.07583780173601899,0.9049211726125688,13359,first,zeros,egreedy,1,4,True,False
0.8904000000000001,1000,0.11269412902897293,0.027962983571869007,0.6089020758265201,19639,first,random,boltzmann,1,6,False,True
1.0,12700,0.01551126516464471,0.08123733423653194,0.03072339877961827,85396,second,random,egreedy,1,6,True,False
0.8944000000000001,1000,0.11095662952092517,0.023135932061168228,0.18728356850425937,85519,first,zeros,boltzmann,1,6,False,True
0.6690000000000002,1000,0.3263311371534439,0.045773998928331186,0.18761645413547728,91219,first,random,boltzmann,1,2,False,False
0.9000000000000002,15531,0.10838719374718173,0.017298159816149603,0.6007347612544702,99795,first,zeros,egreedy,0,4,True,False
0.8528000000000002,1000,0.15447637448992832,0.02833034026789464,0.0917664876298482,69353,second,zeros,boltzmann,1,4,True,True
0.8317,1000,0.17086786967278422,0.01751684690382271,0.17065056478852436,71543,first,zeros,boltzmann,1,4,True,True
0.7138000000000002,1000,0.2789729711781112,0.047894015285798175,0.5592655825211504,60232,second,random,boltzmann,0,2,True,False
1.0,46794,0.13667476445290697,0.09211090234237743,0.48940624982716113,60922,second,random,egreedy,1,2,False,True
0.8411000000000002,1000,0.15464951147466482,0.05921213981829698,0.12287771147139392,35208,second,random,boltzmann,1,4,True,True
0.9000000000000002,89111,0.2626084079447358,0.0784145330478797,0.5086784362802171,99739,first,zeros,egreedy,0,2,False,True
0.8904,1000,0.11005652688313393,0.04335348791122179,0.8985488849628328,45642,first,random,boltzmann,0,6,False,False
0.9000000000000002,1000,0.08749913763366676,0.027508352313986295,0.79801652845142,43485,first,random,egreedy,0,6,True,True
0.8332,1000,0.1726278947116076,0.042075838608645,0.8228486746747011,41714,first,zeros,boltzmann,0,4,False,True
0.9018000000000002,1000,0.09096274720220755,0.046358026744929975,0.19807469012919596,26092,first,random,egreedy,1,6,True,False
