mean_platform_revenue,mean_liquid_welfare,mean_effective_poa,mean_budget_utilization,mean_bid_to_value,mean_allocative_efficiency,mean_dual_cv,mean_no_sale_rate,mean_winner_entropy,warm_start_benefit,inter_episode_volatility,bid_suppression_ratio,cross_episode_drift,auction_type,auction_type_coded,objective,objective_coded,n_bidders,n_bidders_coded,cell_id,replicate,seed,auction_type_code,objective_code
2247.0332017671794,2604.0566731617164,0.8633086109522711,0.9996052130573564,1.2339465885918062,0.8433777777777778,0.17644607985386318,0.0,0.689005858883561,10.392083156407807,0.0011537549475809383,1.2339465884684115,0.00016157672550827048,second,-1,value_max,-1,2,-1,0,21,420021,0,0
3015.6122360048066,3759.8782607132316,0.8022987284224344,0.9997712878772668,1.3562312714728697,0.7278222222222223,0.15279837166641413,0.0,0.6320629981180576,14.393022593239039,0.0006887611383598165,1.3562312713372466,0.00016857334988044752,second,-1,value_max,-1,2,-1,0,22,420022,0,0
2195.8253491942105,2588.889130639916,0.8483219717512335,0.9998897001823324,1.2522619513859616,0.7901333333333335,0.13810525377846308,0.0,0.6771163896863498,8.439031094993425,0.0002720336938197656,1.2522619512607354,-2.402112819080877e-05,second,-1,value_max,-1,2,-1,0,23,420023,0,0
2471.0675764548905,3007.8825681053504,0.8218814161882332,0.9996824639493311,1.3079811020970982,0.7394666666666667,0.13722732846760455,0.0,0.652353039284052,11.522686373098622,0.0007242344140829758,1.3079811019663001,9.875409576475594e-05,second,-1,value_max,-1,2,-1,0,24,420024,0,0
7484.656012184876,4879.921456723583,1.0621570534541946,0.9999288455742624,1.913702580666706,0.6427666666666666,0.17155205191971468,0.0,1.3729562936574322,69.50981091027825,4.7768175500521546e-05,1.9137025804753358,-1.2081181735984104e-05,second,-1,value_max,-1,4,1,1,0,421000,0,0
6932.057067919915,4548.5695878657925,1.058722435910242,0.9999149761916811,1.922900371707596,0.6453333333333333,0.16024891231320168,0.0,1.3707198315201445,62.38625701910678,8.277511039531037e-05,1.9229003715153061,-1.4790881682095746e-05,second,-1,value_max,-1,4,1,1,1,421001,0,0
7721.909264621814,4949.364690665343,1.0476165317050052,0.9999241126241731,1.8786372938426026,0.6815111111111112,0.17513774867586754,0.0,1.384196902768703,65.27312152432387,8.152447251468092e-05,1.8786372936547389,0.00011844080638425025,second,-1,value_max,-1,4,1,1,2,421002,0,0
5696.38107632932,4049.4665890899596,0.9605318639865159,0.9998695965395548,2.036260448319021,0.5139555555555557,0.14712107112861073,0.0,1.3240673232057671,77.2661981777901,0.0003949988519046334,2.036260448115395,-7.680342504943669e-05,second,-1,value_max,-1,4,1,1,3,421003,0,0
4632.875920127997,3242.4661125300354,0.9611371866179491,0.9999081618922427,1.9987264186489402,0.5214,0.12498304395352147,0.0,1.3380538194169316,77.55511862304866,0.00021701334355750442,1.9987264184490676,-3.7799226834921325e-05,second,-1,value_max,-1,4,1,1,4,421004,0,0
7129.081590651388,4778.658737155936,1.0690463020135914,0.9999102995210389,1.9734366016421356,0.6273777777777778,0.16937633501627308,0.0,1.355352935095792,76.99861630042051,0.00019519361244634245,1.973436601444792,4.6815675942314225e-05,second,-1,value_max,-1,4,1,1,5,421005,0,0
6026.347601385318,4059.531192189512,1.0421801801198127,0.9999215045127048,1.979821285681655,0.6359555555555555,0.14431468596108055,0.0,1.3552098419282683,73.47706762954658,6.478517987522776e-05,1.979821285483673,1.375767335010749e-06,second,-1,value_max,-1,4,1,1,6,421006,0,0
7350.98462574962,4759.191628395841,1.048493662326279,0.9999302210210875,1.8962345659263178,0.6602888888888889,0.1649812667622012,0.0,1.3788276211886346,72.34795881108312,0.0001245684258895322,1.8962345657366944,-9.258817134584747e-05,second,-1,value_max,-1,4,1,1,7,421007,0,0
6137.216803241932,4137.000654614453,1.0667051290948744,0.9999164604118609,1.9853719021491019,0.6399222222222223,0.15668892417271843,0.0,1.3532731642888578,74.94547334876097,0.00017429839646374451,1.9853719019505647,-7.571282335523346e-05,second,-1,value_max,-1,4,1,1,8,421008,0,0
6364.257562075739,4207.280100842924,1.034692705112955,0.9999170620848575,1.9316078334259401,0.6337222222222222,0.1608790510138958,0.0,1.3673070802962588,73.49277181662274,0.00020465165107966612,1.9316078332327793,6.673019306160032e-06,second,-1,value_max,-1,4,1,1,9,421009,0,0
5843.086768905957,3976.5643226870952,1.0113073174874971,0.999915738616407,1.9693613309084914,0.5751777777777778,0.14244442707789365,0.0,1.3516599752216956,82.0029344571376,0.00013701554188198724,1.9693613307115552,9.34759151130356e-06,second,-1,value_max,-1,4,1,1,10,421010,0,0
