eta,alpha,gamma,episodes,auction_type,init,exploration,asynchronous,n_bidders,median_opp_past_bid_index,winner_bid_index_state,avg_rev_last_1000,time_to_converge,avg_regret_of_seller
0.19758623558313904,0.012607406398104513,0.1121615751659309,32477,first,random,egreedy,1,4,True,True,0.7122,5,0.2163377159220371
0.47169713705035643,0.07193878758204801,0.18485439289326852,27182,first,random,boltzmann,1,4,True,True,0.8092,5,0.17923625928923548
0.16149715874046933,0.07206010595640595,0.7868366295808031,41339,first,random,boltzmann,1,6,False,False,0.88,1,0.11870630639347829
0.0914580632831683,0.06929582120864941,0.3651274307100312,14504,second,random,egreedy,0,6,True,False,0.9072,2,0.09193325979040262
0.8638510088712998,0.061987911248077315,0.16339408659125526,61190,second,zeros,egreedy,0,6,False,True,0.7462000000000001,43025,0.16838699133845397
0.9485839573115507,0.03823527031066276,0.08472821417372972,18279,second,random,boltzmann,0,2,True,False,0.6868000000000001,21,0.3111001695935226
0.5762255853379753,0.0993999384824323,0.7799552498046955,78826,second,random,boltzmann,0,6,False,True,0.8978,32,0.10798467510719811
0.7716142946699291,0.016027442524195495,0.7981792552059135,44372,second,random,egreedy,1,2,True,False,0.6866,5,0.3142342017488506
0.13231578597668614,0.060396509518478,0.8628338732733174,43072,second,zeros,boltzmann,1,4,False,True,0.8272000000000002,21,0.1681417161961367
0.9090337621370618,0.030009659823992167,0.6641502980289044,73600,first,random,egreedy,1,2,True,False,0.2926,66338,0.5078342391304348
0.5603966389454522,0.03411268772742234,0.1721458474661342,21148,second,random,boltzmann,1,4,True,True,0.8372000000000002,84,0.16064876111216184
0.6273225409898496,0.08112577284334604,0.1437656008057004,10926,first,random,egreedy,0,6,True,False,0.5808,9811,0.23197876624565253
0.6651852691878647,0.07056419231513555,0.4384736435352085,27627,second,zeros,egreedy,0,6,False,False,0.8040000000000002,14829,0.15110580229485646
0.0893040663674759,0.033120136608693736,0.1114339241802257,78616,first,zeros,boltzmann,1,4,False,False,0.7978000000000002,1322,0.19488908110308328
0.31266003978812906,0.014022185676011475,0.38119041028612183,24225,first,zeros,boltzmann,0,6,False,True,0.8842000000000001,66,0.11818369453044374
0.07085016190539428,0.02786285772157173,0.8450594106487755,20905,first,zeros,egreedy,1,6,False,True,0.685,17678,0.19248026787849795
0.7122960895886291,0.06890975928051697,0.13085764898561741,61111,first,random,boltzmann,1,2,False,False,0.6242000000000001,12,0.3695766719575853
0.8375911464265736,0.03167523906696585,0.6002148047248607,93389,first,zeros,boltzmann,1,2,False,True,0.6337999999999999,27,0.36487166582788116
0.13132795903719796,0.06449839811317093,0.670441915075662,86427,second,zeros,egreedy,0,2,True,False,0.6872,3,0.3024795492149444
0.8978706920408022,0.09580270406336824,0.07296095417397265,75501,second,zeros,boltzmann,0,2,False,False,0.7016000000000001,2,0.3077495662309108
0.20741817555958553,0.06661076194187948,0.1490546247417858,27012,first,random,egreedy,1,4,True,True,0.5973999999999998,2,0.26959869687546273
0.18536208462647308,0.023883724074163153,0.10107727448859619,50834,first,random,egreedy,0,6,False,False,0.6996000000000001,41286,0.18996734469056142
0.7146855577658405,0.03475597343000466,0.6255705458953531,84070,second,zeros,boltzmann,1,4,True,True,0.828,15,0.16583561317949327
0.8998319103107244,0.042159357511612545,0.5765623213027322,92271,first,random,boltzmann,1,4,False,True,0.7966,0,0.19396560132652726
0.250143513083792,0.013857972094425615,0.037261853764184207,46613,second,zeros,egreedy,0,6,False,False,0.903,4,0.095424023341128
0.11748551852995781,0.0330572260638207,0.23220902070892485,27414,first,random,egreedy,1,4,False,True,0.6,22073,0.28122127380170714
0.2814339539947983,0.02126182894460943,0.169892399433377,17333,first,random,boltzmann,0,2,True,True,0.6187999999999999,4,0.3521606184734321
0.19557409755134125,0.047047583486287396,0.2709461000055148,40763,first,zeros,boltzmann,0,2,False,False,0.623,3,0.37373598606579495
0.7746936876987036,0.06558658714146902,0.4930278407452735,62728,first,random,egreedy,0,6,False,True,0.5741999999999999,55021,0.23529843132253533
0.3441109487453342,0.09754762782204277,0.9577063181539658,58130,first,random,egreedy,1,6,True,True,0.6626000000000002,49018,0.1993772578702907
0.298875245041341,0.02783795490485355,0.7391261757469605,75934,second,zeros,egreedy,0,4,True,True,0.8388000000000002,4,0.1574893986883346
0.24040579712207077,0.06429062862135236,0.22514007475395598,14512,first,zeros,egreedy,1,4,False,True,0.614,12267,0.2746554575523704
0.2996432338871021,0.06035590725081715,0.319329575790071,20622,second,random,egreedy,1,4,True,True,0.7858,7036,0.19245466007176798
0.7523696553688427,0.030212137978711348,0.7831217222722361,31755,first,zeros,egreedy,0,6,True,True,0.5845999999999999,27412,0.23426861911509997
0.12712330025435192,0.07199560256916393,0.7498118984878395,77377,second,random,egreedy,0,4,True,False,0.855,12,0.15422153870013053
0.957472261518916,0.05396999484021563,0.5991455227041125,20213,second,random,egreedy,1,6,True,True,0.7812,0,0.16111413446791664
0.8401288885811983,0.06500349187613459,0.5335139133315367,55311,second,random,boltzmann,0,2,False,True,0.6834000000000001,2,0.3091356149771294
0.6101379392155603,0.013412941898786767,0.9220280265849088,57105,first,random,boltzmann,1,4,True,True,0.8168000000000001,0,0.1724857718238333
0.5827308439237454,0.04240218724879114,0.8007966016091516,50919,first,zeros,boltzmann,0,4,False,True,0.8108000000000001,1,0.1947445943557414
0.6275712964151083,0.07866284145343633,0.3851965510601431,41122,second,zeros,boltzmann,0,4,False,False,0.8240000000000001,12,0.1689655172413793
0.4087725463497671,0.06593301566912153,0.9196954884633863,73245,first,zeros,boltzmann,1,6,False,False,0.875,1,0.12171206225680933
0.7942590327113949,0.061847524878046733,0.3996399096258968,75463,first,zeros,egreedy,0,4,False,False,0.494,65628,0.3175330956892781
