eta,auction_type,alpha_lr,gamma_disc,episodes,init,exploration,winning_info,opp_info,final_avg_rev
0.9678401739656649,second,0.05035509215743406,0.5768046686849096,191917,random,boltzmann,True,True,0.701
0.948621825223223,second,0.09568764540634277,0.8839156583247414,178950,zeros,boltzmann,False,False,0.69
0.9015014086403796,second,0.02061961774040393,0.8164105638423107,61716,zeros,egreedy,True,False,0.638
0.1442398062349004,second,0.06776358946506987,0.61228961521534,74401,random,egreedy,False,False,0.575
0.5809419058172387,first,0.011425895882424965,0.3314162599359546,117848,zeros,boltzmann,False,True,0.642
0.45206586534905646,second,0.024111611687464476,0.9122185560798092,119726,random,boltzmann,False,True,0.697
0.10794435509475586,first,0.0749967202352579,0.001301916717222512,110386,random,egreedy,False,False,0.405
0.27591791009753974,second,0.024808690926421618,0.9223731216088358,190029,zeros,egreedy,True,False,0.646
0.900223879859313,second,0.08067031970763612,0.1501824306917934,109750,zeros,boltzmann,False,False,0.7
0.34229965255376926,first,0.04204449999703889,0.5423179533007526,139826,zeros,egreedy,False,False,0.31
0.35123748944915223,first,0.048061412733694416,0.5877429078661068,166424,random,boltzmann,True,False,0.635
0.7896639161331056,first,0.08439507577290178,0.21917165564685911,232967,random,boltzmann,True,True,0.637
0.4834329621500043,second,0.0746632319778579,0.14153262891121005,159966,random,egreedy,False,False,0.6
0.07458726442278918,second,0.07542375106510439,0.8844006123821183,91625,zeros,egreedy,False,False,0.73
0.7591751927699764,first,0.07891948328714787,0.8626994226564978,152661,zeros,boltzmann,False,False,0.641
0.37333618724776163,second,0.030637000714405702,0.4621172911968078,238709,zeros,boltzmann,False,True,0.693
0.5617927570776956,second,0.08873032688510543,0.7558151808489142,244327,random,egreedy,True,False,0.704
0.8148915365531588,second,0.007654197220181997,0.15092735669622437,127346,zeros,boltzmann,True,True,0.688
0.5955187335288273,first,0.0051720750783422415,0.19735534067901925,184838,zeros,egreedy,True,False,0.306
0.6493994482417969,first,0.07139603459252676,0.7058619598211217,208897,zeros,boltzmann,False,True,0.629
0.5398766325066929,first,0.014120557532969768,0.020936469689684652,87523,random,boltzmann,True,False,0.627
0.05297863164856853,second,0.07143566759353481,0.09986606824365984,198810,zeros,egreedy,True,False,0.698
0.3442457820794046,first,0.03992865375296406,0.274040722627405,192569,zeros,boltzmann,True,False,0.631
0.04560930208539393,second,0.021141250511377527,0.7020327443633915,78569,random,boltzmann,False,False,0.689
0.06710225875940379,second,0.033234355878935064,0.0036386160704221992,106559,zeros,boltzmann,True,True,0.7
0.7638815744633954,second,0.06483329435754434,0.40534369933855324,89617,random,boltzmann,True,True,0.691
0.09075818242392208,second,0.08436868978826874,0.594447721272881,92526,random,egreedy,False,True,0.658
0.39690648660219763,second,0.009460396085579536,0.5780674159329084,76538,zeros,egreedy,False,True,0.683
0.4344168117774424,first,0.07272963293459178,0.5308518824530151,149378,random,egreedy,False,False,0.348
0.008647837332268482,first,0.03120369560633005,0.7286825113880524,218401,random,egreedy,True,True,0.31
0.5059766669498406,first,0.0672374559646526,0.8449471137211022,94359,random,boltzmann,False,True,0.613
0.2790623867929266,second,0.0782773182647066,0.055289238964398975,209499,zeros,boltzmann,True,True,0.707
0.5570381481736858,first,0.0033127373960718494,0.9558179459688095,107199,random,boltzmann,False,False,0.634
0.3847045824459102,first,0.06837625724985084,0.7197219498904238,131070,random,boltzmann,False,False,0.628
0.564895975272125,second,0.07433722493773136,0.020787271041409774,226643,random,boltzmann,True,False,0.695
0.39626290358104654,first,0.09825487162978451,0.6982699028948604,61900,random,egreedy,True,False,0.364
