mean_platform_revenue,mean_liquid_welfare,mean_effective_poa,mean_budget_utilization,mean_bid_to_value,mean_allocative_efficiency,mean_dual_cv,mean_no_sale_rate,mean_winner_entropy,mean_lp_offline_welfare,mean_effective_poa_lp,mean_rev_all,warm_start_benefit,inter_episode_volatility,bid_suppression_ratio,cross_episode_drift,auction_type,auction_type_coded,objective,objective_coded,n_bidders,n_bidders_coded,budget_multiplier,budget_multiplier_coded,reserve_price,reserve_price_coded,sigma,sigma_coded,cell_id,replicate,seed,auction_type_code,objective_code
1926.285907194416,1926.9163124893,1.0,0.9996735272767197,0.7118426454664526,0.8904111111111113,0.177055910569285,0.0,0.6866746483356428,1926.9163124893005,1.0,1926.3161411542228,0.827754376708981,0.0007940362437384,0.7118426453952683,8.813451991081638e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.0,-1,0.5,1,1,6,421006,0,0
1973.1908873974253,1973.8046928705191,1.0,0.9996957492245476,0.7268795479047857,0.8749777777777779,0.1771819227190033,0.0,0.6727877737834892,1973.80469287052,1.0,1973.1591931319335,-0.1145472255434469,0.000791797349886,0.7268795478320977,-1.826863044479909e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.0,-1,0.5,1,1,7,421007,0,0
1251.1355178864749,1251.4110064655683,1.0,0.9997797766330312,0.5361015942984492,0.8045444444444445,0.1779295981790861,0.0399555555555555,0.6928970388575227,1251.411006465568,1.0,1251.1345876641324,0.1246957079235926,9.947145727897757e-05,0.536101594244839,1.705431949061627e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.3,1,0.1,-1,2,0,422000,0,0
943.1164448267792,943.3801736070108,1.0,0.9997202366928916,0.53720158574603,0.7573666666666666,0.1971331645401985,0.0548444444444444,0.6923527354599791,943.3801736070108,1.0,943.1163940337948,-0.3138029247517124,0.0001167525927074,0.5372015856923099,2.528763330173706e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.3,1,0.1,-1,2,1,422001,0,0
978.8505497564412,979.1247566956416,1.0,0.9997171256699666,0.5404266418937957,0.6163555555555555,0.1922440208110866,0.0518333333333333,0.6892024828507796,979.1247566956416,1.0,978.85492281115,0.3438915084007021,0.0001145665684953,0.5404266418397531,2.6536871408010523e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.3,1,0.1,-1,2,2,422002,0,0
1805.5960228094243,1805.8541868887748,1.0,0.9998530910326334,0.5492965018763084,0.5787777777777777,0.1473734693668983,0.0243666666666666,0.6797457021907706,1805.854186888775,1.0,1805.5917919149804,-0.0301731308991293,7.42561756115078e-05,0.5492965018213788,6.127269217319617e-06,second,-1,value_max,-1,2,-1,0.25,-1,0.3,1,0.1,-1,2,3,422003,0,0
1314.9146448431352,1315.1656765900082,1.0000000000000002,0.999789658479922,0.5851847546570079,0.6275888888888889,0.1515978825883837,0.0329777777777777,0.648056337423458,1315.1656765900084,1.0,1314.9156529405536,0.1038912553021873,9.291980117023712e-05,0.5851847545984894,1.3104695143902344e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.3,1,0.1,-1,2,4,422004,0,0
1513.778050883223,1514.0432632375453,1.0,0.9998077128672022,0.5881680481285051,0.6352888888888888,0.1433919097568826,0.0276111111111111,0.6453398713755358,1514.0432632375455,1.0,1513.779519552812,0.2862088859310461,7.632527987893233e-05,0.5881680480696883,-6.125599218240304e-06,second,-1,value_max,-1,2,-1,0.25,-1,0.3,1,0.1,-1,2,5,422005,0,0
1309.6641771709644,1309.9428040240566,1.0,0.9997747669632676,0.5685665141527438,0.6008333333333332,0.1641645410482949,0.0357777777777777,0.6626226985268713,1309.9428040240568,1.0000000000000002,1309.6644393111046,-0.2265423608264427,8.494871776209676e-05,0.5685665140958872,2.6562769855254303e-06,second,-1,value_max,-1,2,-1,0.25,-1,0.3,1,0.1,-1,2,6,422006,0,0
991.1059149067536,991.3892954534106,1.0,0.9997063526278516,0.5472205247069293,0.5626555555555556,0.1943387603983843,0.0518555555555555,0.6824935935697896,991.3892954534108,1.0,991.1045090368606,-0.3387355853504914,0.0001189438016551,0.5472205246522073,1.0324847966382051e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.3,1,0.1,-1,2,7,422007,0,0
2056.748088768993,2057.184567137029,1.0,0.9997876727038264,0.7429554982559621,0.8539888888888887,0.1654867288402967,0.0156222222222222,0.6577381842246742,2057.1845671370297,1.0,2056.7207818333777,-0.004045766908348,0.0004573388817105,0.7429554981816665,-6.50504498462699e-06,second,-1,value_max,-1,2,-1,0.25,-1,0.3,1,0.5,1,3,0,423000,0,0
1507.56386928761,1507.89476035032,1.0,0.999776298893006,0.7168335682140307,0.8775444444444445,0.1412194212761429,0.0199777777777777,0.6768821530306643,1507.8947603503198,1.0,1507.552506335957,0.101412945426091,0.0002026513618488,0.7168335681423473,1.947614043458482e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.3,1,0.5,1,3,1,423001,0,0
1930.519395040026,1931.009368810638,1.0000000000000002,0.9997501345854732,0.7712857436745982,0.8357777777777776,0.1776849041570764,0.0178111111111111,0.6279967304884928,1931.009368810638,1.0,1930.439433570633,0.0325462412315573,0.0006834013625828,0.7712857435974697,1.0320597372732607e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.3,1,0.5,1,3,2,423002,0,0
1266.3194520878922,1266.634784346939,1.0000000000000002,0.9997459791533349,0.7318483610072425,0.8583,0.1354429835489353,0.0220999999999999,0.6614143980143647,1266.6347843469398,1.0000000000000002,1266.3208615705446,0.1445405938418389,0.0003629377976628,0.7318483609340577,-3.497718646146937e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.3,1,0.5,1,3,3,423003,0,0
1356.9801609581243,1357.2605612260545,1.0,0.9997747365149972,0.7483067085076041,0.8467333333333333,0.1336814127814609,0.0190555555555555,0.6443934923457783,1357.2605612260545,1.0,1356.9481008334822,-0.212070793988687,0.0001328971140418,0.7483067084327734,3.749076349705033e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.3,1,0.5,1,3,4,423004,0,0
1542.960772463315,1543.325051477956,1.0,0.9997628393855016,0.7030514804648358,0.8947111111111112,0.1456910541283115,0.0189333333333333,0.6913319259827606,1543.3250514779556,1.0,1542.9736952704202,-0.2151831747382857,0.000327171681353,0.7030514803945306,7.876275349910371e-07,second,-1,value_max,-1,2,-1,0.25,-1,0.3,1,0.5,1,3,5,423005,0,0
1838.83495600034,1839.2834306645616,1.0,0.999745204458666,0.7662696627493338,0.8316777777777777,0.1746803164755113,0.0208666666666666,0.6336072956337142,1839.283430664562,1.0000000000000002,1838.7884562669392,0.0399426117826351,0.0007300410947306,0.7662696626727069,-0.0001597222803364,second,-1,value_max,-1,2,-1,0.25,-1,0.3,1,0.5,1,3,6,423006,0,0
1289.9125995709417,1290.1766057413042,1.0,0.9997940492427678,0.7058471409359505,0.8975666666666668,0.1317263166256275,0.0226888888888888,0.6885010040165979,1290.1766057413042,1.0,1289.9077288043084,-0.2720239159345965,9.825904095818138e-05,0.7058471408653657,3.069399420956342e-06,second,-1,value_max,-1,2,-1,0.25,-1,0.3,1,0.5,1,3,7,423007,0,0
6161.192569465169,3408.540619902222,1.143999584990839,0.9998335154874868,2.3582085255613836,0.6374444444444445,0.1663073832538721,0.0,0.6548425957117979,3901.13432605019,1.1445250249485948,6160.490005664868,37.6346205242844,0.0004425945878647,2.358208525325563,0.0001128673878343,second,-1,value_max,-1,2,-1,1.0,1,0.0,-1,0.1,-1,4,0,424000,0,0
4241.386294273349,2231.123975513274,1.0550320239196778,0.9998883299456108,2.1929249781148155,0.6159777777777778,0.1194148558452969,0.0,0.6872714631058772,2353.9026606814427,1.0550320239196778,4240.682042958135,46.032440357563246,0.0002725579179859,2.192924977895523,2.4326993195828217e-05,second,-1,value_max,-1,2,-1,1.0,1,0.0,-1,0.1,-1,4,1,424001,0,0
4802.576098470099,2574.177808561472,1.102008381826151,0.9998603571224328,2.247391638544048,0.5976444444444445,0.1235395813140248,0.0,0.6757198517648196,2837.1268801077717,1.1021519141199798,4801.875331741684,46.93767537192252,0.0003166585257797,2.247391638319309,0.0001013959947757,second,-1,value_max,-1,2,-1,1.0,1,0.0,-1,0.1,-1,4,2,424002,0,0
8295.428258790713,4292.2665684847,1.0444523343629617,0.9998540467412677,2.2473936872743825,0.6327888888888888,0.1860033272811613,0.0,0.6907215292992894,4483.063727077054,1.0444523343629617,8294.673942738433,45.657659607413734,0.0002682223475789,2.247393687049643,0.0003056449271073,second,-1,value_max,-1,2,-1,1.0,1,0.0,-1,0.1,-1,4,3,424003,0,0
